organism_code,target_taxon_name,target_taxon_level,lit_taxon_name,lit_taxon_level,lit_taxon_type,lit_taxon_type_ord,target_genus,lit_genus,target_family,lit_family,database,trait_record_id,citation,population_state,population_description,study_latitude,study_longitude,trait_group,trait_value,trait_unit,aphia_id,life_stage,quality_status,link
2650,Embolocephalus nikolskyi,Species,Embolocephalus nikolskyi,species,target,1,NA,NA,NA,NA,worms,NA,"Timm, T.; Martin, P. (2019). Phylum Annelida. Class Clitellata: Subclass Oligochaeta. In: Thorp and Covich's Freshwater Invertebrates, ed. by Rogers, DC, Throp JH, vol. 4, pp. 364-482, Academic Press, Boston. Keys to Palearctic Fauna.",NA,NA,NA,NA,body_size_max,50,mm,1040959,adult,unreviewed,NA
2970,Mooreobdella microstoma,Species,Mooreobdella microstoma,species,target,1,Mooreobdella,Mooreobdella,Erpobdellidae,Glossiphoniidae,USGS,7988,Ecology and Classification of North American Freshwater Invertebrates.,NA,NA,NA,NA,body_size_max,50,mm,NA,NA,NA,NA
2550,Limnodrilus hoffmeisteri,Species,Limnodrilus hoffmeisteri,species,target,1,NA,NA,NA,NA,worms,NA,"Timm, T.; Martin, P. (2019). Phylum Annelida. Class Clitellata: Subclass Oligochaeta. In: Thorp and Covich's Freshwater Invertebrates, ed. by Rogers, DC, Throp JH, vol. 4, pp. 364-482, Academic Press, Boston. Keys to Palearctic Fauna.",NA,NA,NA,NA,body_size_max,60,mm,137556,adult,unreviewed,NA
6730,Corbicula fluminea,species,Corbicula fluminea,species,target,1,NA,NA,NA,NA,NEMESIS,NA,McMahon 1983,NA,NA,NA,NA,body_size_max,60,mm,NA,NA,NA,https://invasions.si.edu/nemesis/species_summary/81387
2530,Ilyodrilus templetoni,Species,Ilyodrilus templetoni,species,target,1,Ilyodrilus,Ilyodrilus,Naididae,Tubificidae,USGS,6347,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,65,mm,NA,NA,NA,NA
2610,Psammoryctides californianus,Species,Psammoryctides californianus,species,target,1,NA,NA,NA,NA,worms,NA,"Brinkhurst, R.O.; Jamieson, B.G.M. (1971). Aquatic oligochaeta of the world. [book]. Oliver & Boyd, Edinburgh, 860 pages, With contributions by D. G. Cook, D. V. Anderson, J. Van der Land.",NA,NA,NA,NA,body_size_max,75,mm,1040661,adult,unreviewed,NA
2570,Limnodrilus udekemianus,Species,Limnodrilus udekemianus,species,target,1,NA,NA,NA,NA,worms,NA,"Brinkhurst, R.O.; Jamieson, B.G.M. (1971). Aquatic oligochaeta of the world. [book]. Oliver & Boyd, Edinburgh, 860 pages, With contributions by D. G. Cook, D. V. Anderson, J. Van der Land.",NA,NA,NA,NA,body_size_max,90,mm,157593,adult,unreviewed,NA
2850,Lumbriculus variegatus,Species,Lumbriculus variegatus,species,target,1,NA,NA,NA,NA,worms,NA,"Brinkhurst, R.O.; Jamieson, B.G.M. (1971). Aquatic oligochaeta of the world. [book]. Oliver & Boyd, Edinburgh, 860 pages, With contributions by D. G. Cook, D. V. Anderson, J. Van der Land.",NA,NA,NA,NA,body_size_max,100,mm,177538,adult,unreviewed,NA
3130,Marenzelleria neglecta,species,Marenzelleria neglecta,species,target,1,NA,NA,NA,NA,NEMESIS,NA,Sikorski and Bick 2004,NA,NA,NA,NA,body_size_max,115,mm,NA,NA,NA,https://invasions.si.edu/nemesis/species_summary/-684
3370,Alitta succinea,species,Alitta succinea,species,target,1,NA,NA,NA,NA,NEMESIS,NA,Pettibone 1963,NA,NA,NA,NA,body_size_max,170,mm,NA,NA,NA,https://invasions.si.edu/nemesis/species_summary/-48
