target_aphia_id,target_taxon_name,target_taxon_level,lit_aphia_id,lit_taxon_name,lit_taxon_level,lit_taxon_type,citation,trait_group,trait_value,trait_unit,Gender
104108,Acartia_UnID,Genus,345943,Acartia (Acanthacartia) tonsa,Species,species within genus,"Bradford-Grieve, J.M. (1999). To replace Fiches d'Identification du Zooplancton No. 12. Copepoda. Sub-order: Calanoida, Family: Acartiidae, Genera: Acartia, Paracartia, Pteriacartia. ICES (International Council for the Exploration of the Sea) Identification Leaflets for Plankton 181:1-19.",maximum adult body length,1.1,mm,male
104108,Acartia_UnID,Genus,345943,Acartia (Acanthacartia) tonsa,Species,species within genus,"Bradford-Grieve, J.M. (1999). To replace Fiches d'Identification du Zooplancton No. 12. Copepoda. Sub-order: Calanoida, Family: Acartiidae, Genera: Acartia, Paracartia, Pteriacartia. ICES (International Council for the Exploration of the Sea) Identification Leaflets for Plankton 181:1-19.",maximum adult body length,1.5,mm,female
104108,Acartia_UnID,Genus,345943,Acartia (Acanthacartia) tonsa,Species,species within genus,"Conway, D.V.P. (2012). Marine zooplankton of southern Britain. Part 2: Arachnida, Pycnogonida, Cladocera, Facetotecta, Cirripedia and Copepoda. In: John, A.W.G. (ed.). Occasional Publications. Marine Biological Association of the United Kingdom, Plymouth, United Kingdom. 26:163 pp.",maximum adult body length,1.1,mm,male
104108,Acartia_UnID,Genus,345943,Acartia (Acanthacartia) tonsa,Species,species within genus,"Hirst, A.G. & T. Kiørboe. (2014). Macroevolutionary patterns of sexual size dimorphism in copepods. Proceedings of the Royal Society Biological Sciences Series B. 281(1791).",maximum adult body length,1.1,mm,male
104108,Acartia_UnID,Genus,345943,Acartia (Acanthacartia) tonsa,Species,species within genus,"Nielsen, T.G. & P.J. Hansen. (1999). Dyreplankton i danske farvande. Miljø- og Energiministeriet, Danmarks Miljøundersøgelser. ",maximum adult body length,1.1,mm,male
104108,Acartia_UnID,Genus,345943,Acartia (Acanthacartia) tonsa,Species,species within genus,"Razouls, C., N. Desreumaux, J. Kouwenberg & F. de Bovée. (2005). Biodiversity of Marine Planktonic Copepods (morphology, geographical distribution and biological data). Sorbonne University, CNRS. ",maximum adult body length,1.34,mm,male
104108,Acartia_UnID,Genus,345943,Acartia (Acanthacartia) tonsa,Species,species within genus,"Conway, D.V.P. (2012). Marine zooplankton of southern Britain. Part 2: Arachnida, Pycnogonida, Cladocera, Facetotecta, Cirripedia and Copepoda. In: John, A.W.G. (ed.). Occasional Publications. Marine Biological Association of the United Kingdom, Plymouth, United Kingdom. 26:163 pp.",maximum adult body length,1.5,mm,female
104108,Acartia_UnID,Genus,345943,Acartia (Acanthacartia) tonsa,Species,species within genus,"Razouls, C., N. Desreumaux, J. Kouwenberg & F. de Bovée. (2005). Biodiversity of Marine Planktonic Copepods (morphology, geographical distribution and biological data). Sorbonne University, CNRS. ",maximum adult body length,1.5,mm,female
104108,Acartia_UnID,Genus,345943,Acartia (Acanthacartia) tonsa,Species,species within genus,"Hirst, A.G. & T. Kiørboe. (2014). Macroevolutionary patterns of sexual size dimorphism in copepods. Proceedings of the Royal Society Biological Sciences Series B. 281(1791).",maximum adult body length,1.5,mm,female
104108,Acartia_UnID,Genus,345943,Acartia (Acanthacartia) tonsa,Species,species within genus,"Nielsen, T.G. & P.J. Hansen. (1999). Dyreplankton i danske farvande. Miljø- og Energiministeriet, Danmarks Miljøundersøgelser. ",maximum adult body length,1.5,mm,female
