organism_code,aphia_id,taxon,source,aphia_id_syn,synonym,status,rank,kingdom,phylum,class,order,family,genus
3050,131114,Boccardiella ligerica,worms,1320456,Polydora (Boccardia) ligerica,unaccepted,Species,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Polydora
3050,131114,Boccardiella ligerica,worms,1320462,Polydora (Boccardia) redeki,unaccepted,Species,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Polydora
3050,131114,Boccardiella ligerica,worms,155378,Polydora (Boccardiella) ligerica,unaccepted,Species,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Polydora
3050,131114,Boccardiella ligerica,worms,155540,Polydora redeki,unaccepted,Species,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Polydora
3050,131114,Boccardiella ligerica,worms,338525,Polydora uncatiformis,unaccepted,Species,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Polydora
3090,131167,Pseudopolydora kempi,worms,338473,Neopygospio laminifera,unaccepted,Species,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Neopygospio
3090,131167,Pseudopolydora kempi,worms,338510,Polydora (Carazzia) kempi,unaccepted,Species,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Polydora
3090,131167,Pseudopolydora kempi,worms,209862,Polydora kempi,unaccepted,Species,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Polydora
3110,131191,Streblospio benedicti,worms,338187,Streblospio lutincola,unaccepted,Species,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Streblospio
3170,129884,Heteromastus filiformis,worms,336379,Ancistria capillaris,unaccepted,Species,Animalia,Annelida,Polychaeta,NA,Capitellidae,Ancistria
3170,129884,Heteromastus filiformis,worms,336380,Ancistria minima,unaccepted,Species,Animalia,Annelida,Polychaeta,NA,Capitellidae,Ancistria
3170,129884,Heteromastus filiformis,worms,336383,Areniella filiformis,unaccepted,Species,Animalia,Annelida,Polychaeta,NA,Capitellidae,Areniella
3170,129884,Heteromastus filiformis,worms,336388,Capitella costana,unaccepted,Species,Animalia,Annelida,Polychaeta,NA,Capitellidae,Capitella
3170,129884,Heteromastus filiformis,worms,155183,Capitella filiformis,unaccepted,Species,Animalia,Annelida,Polychaeta,NA,Capitellidae,Capitella
3170,129884,Heteromastus filiformis,worms,336390,Capitella fimbriata,unaccepted,Species,Animalia,Annelida,Polychaeta,NA,Capitellidae,Capitella
3170,129884,Heteromastus filiformis,worms,336406,Notomastus filiformis,unaccepted,Species,Animalia,Annelida,Polychaeta,NA,Capitellidae,Notomastus
3170,129884,Heteromastus filiformis,worms,336408,Notomastus laevis,unaccepted,Species,Animalia,Annelida,Polychaeta,NA,Capitellidae,Notomastus
4610,431330,Americorophium spinicorne,worms,504222,Corophium spinicorne,superseded combination,Species,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Corophium
4630,431331,Americorophium stimpsoni,worms,1289050,Corophium stimpsoni,superseded combination,Species,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Corophium
4550,431367,Sinocorophium alienense,worms,394881,Corophium alienense,superseded combination,Species,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Corophium
4950,107414,Rhithropanopeus harrisii,worms,454298,Panopeus wurdemannii,junior subjective synonym,Species,Animalia,Arthropoda,Malacostraca,Decapoda,Panopeidae,Panopeus
4950,107414,Rhithropanopeus harrisii,worms,454615,Pilumnus Harrisii,superseded combination,Species,Animalia,Arthropoda,Malacostraca,Decapoda,Pilumnidae,Pilumnus
4950,107414,Rhithropanopeus harrisii,worms,148466,Pilumnus tridentatus,junior subjective synonym,Species,Animalia,Arthropoda,Malacostraca,Decapoda,Pilumnidae,Pilumnus
4350,260458,Gnorimosphaeroma insulare,worms,295413,Exosphaeroma insulare,unaccepted,Species,Animalia,Arthropoda,Malacostraca,Isopoda,Sphaeromatidae,Exosphaeroma
4370,1264222,Gnorimosphaeroma oregonense,worms,260464,Gnorimosphaeroma oregonensis,unaccepted,Species,Animalia,Arthropoda,Malacostraca,Isopoda,Sphaeromatidae,Gnorimosphaeroma
4370,1264222,Gnorimosphaeroma oregonense,worms,295414,Sphaeroma oregonensis,unaccepted,Species,Animalia,Arthropoda,Malacostraca,Isopoda,Sphaeromatidae,Sphaeroma
4370,1264222,Gnorimosphaeroma oregonense,worms,1264220,Spheroma oregonensis,unaccepted,Species,Animalia,Arthropoda,Malacostraca,Isopoda,Sphaeromatidae,Spheroma
4410,118375,Uromunna,worms,249699,Munna (Metamunna),unaccepted,Subgenus,Animalia,Arthropoda,Malacostraca,Isopoda,Munnidae,Munna
4410,118375,Uromunna,worms,744030,Munnoides,unaccepted,Genus,Animalia,Arthropoda,Malacostraca,Isopoda,Munnidae,Munnoides
4270,247737,Sinelobus stanfordi,worms,819940,Tanais estuarius,unaccepted,Species,Animalia,Arthropoda,Malacostraca,Tanaidacea,Tanaididae,Tanais
4270,247737,Sinelobus stanfordi,worms,819935,Tanais fluviatilis,unaccepted,Species,Animalia,Arthropoda,Malacostraca,Tanaidacea,Tanaididae,Tanais
4270,247737,Sinelobus stanfordi,worms,819939,Tanais herminiae,unaccepted,Species,Animalia,Arthropoda,Malacostraca,Tanaidacea,Tanaididae,Tanais
4270,247737,Sinelobus stanfordi,worms,819937,Tanais philetaerus,unaccepted,Species,Animalia,Arthropoda,Malacostraca,Tanaidacea,Tanaididae,Tanais
4270,247737,Sinelobus stanfordi,worms,819936,Tanais stanfordi,unaccepted,Species,Animalia,Arthropoda,Malacostraca,Tanaidacea,Tanaididae,Tanais
4270,247737,Sinelobus stanfordi,worms,819938,Tanais sylviae,unaccepted,Species,Animalia,Arthropoda,Malacostraca,Tanaidacea,Tanaididae,Tanais
4150,421139,Amphibalanus improvisus,worms,106218,Balanus improvisus,unaccepted,Species,Animalia,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Balanus
4150,421139,Amphibalanus improvisus,worms,425710,Balanus ovularis,unaccepted,Species,Animalia,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Balanus
6810,397131,Macoma petalum,worms,880026,Limecola petalum,superseded combination,Species,Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Limecola
6810,397131,Macoma petalum,worms,880030,Macoma subrosea,unaccepted,Species,Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Macoma
6810,397131,Macoma petalum,worms,714918,Macoma takahokoensis,junior subjective synonym,Species,Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Macoma
6810,397131,Macoma petalum,worms,880028,Psammobia fusca,unaccepted,Species,Animalia,Mollusca,Bivalvia,Cardiida,Psammobiidae,Psammobia
6810,397131,Macoma petalum,worms,750317,Sanguinolaria californiana,unaccepted,Species,Animalia,Mollusca,Bivalvia,Cardiida,Psammobiidae,Sanguinolaria
6810,397131,Macoma petalum,worms,880029,Tellina californica,unaccepted,Species,Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Tellina
6810,397131,Macoma petalum,worms,749148,Tellina californica,unaccepted,Species,Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Tellina
6810,397131,Macoma petalum,worms,880027,Tellina petalum,superseded combination,Species,Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Tellina
6810,397131,Macoma petalum,worms,750530,Tellina rotunda,unaccepted,Species,Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Tellina
6810,397131,Macoma petalum,worms,750531,Tellina rotundata,unaccepted,Species,Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Tellina
6890,397175,Potamocorbula amurensis,worms,746289,Aloidis amurensis,unaccepted,Species,Animalia,Mollusca,Bivalvia,Myida,Corbulidae,Aloidis
6890,397175,Potamocorbula amurensis,worms,538896,Corbula amplexa,unaccepted,Species,Animalia,Mollusca,Bivalvia,Myida,Corbulidae,Corbula
6890,397175,Potamocorbula amurensis,worms,397047,Corbula amurensis,unaccepted,Species,Animalia,Mollusca,Bivalvia,Myida,Corbulidae,Corbula
6890,397175,Potamocorbula amurensis,worms,538897,Corbula frequens,unaccepted,Species,Animalia,Mollusca,Bivalvia,Myida,Corbulidae,Corbula
6890,397175,Potamocorbula amurensis,worms,538898,Corbula pustulosa,unaccepted,Species,Animalia,Mollusca,Bivalvia,Myida,Corbulidae,Corbula
6890,397175,Potamocorbula amurensis,worms,538899,Corbula sematensis,unaccepted,Species,Animalia,Mollusca,Bivalvia,Myida,Corbulidae,Corbula
