year,area,american_shad,chinook_salmon,delta_smelt,longfin_smelt,northern_anchovy,pacific_herring,splittail,striped_bass_age_0,striped_bass_age_1,striped_bass_age_2,threadfin_shad
2000,16,76,0,49,29,0,0,0,35,2,2,19
2000,17,86,2,0,0,0,0,0,106,3,0,12706
2001,12,11,1,4,112,49,36,3,146,36,1,14
2001,13,42,4,31,14,33,14,1,53,5,0,16
2001,14,27,1,24,5,36,0,10,68,4,0,19
2001,15,160,6,529,36,0,2,5,155,10,4,571
2001,16,244,5,15,1,0,1,1,97,9,1,1707
2001,17,172,2,0,3,0,0,0,43,12,3,11983
2002,12,122,0,0,85,53,34,0,6,10,0,6
2002,13,201,1,70,178,6,20,0,15,13,1,102
2002,14,45,0,11,91,4,5,0,16,6,1,1
2002,15,803,2,53,110,0,2,0,6,17,0,152
2002,16,196,1,6,10,0,1,1,16,7,0,317
2002,17,46,2,0,0,0,0,0,12,5,2,1118
2003,12,591,0,0,134,62,14,2,9,9,2,20
2003,13,847,0,23,133,19,10,0,22,8,3,4
2003,14,357,1,6,17,1,2,8,11,2,0,84
2003,15,2204,0,169,47,0,0,0,13,11,2,78
2003,16,2057,0,12,5,0,0,0,6,3,1,204
2003,17,382,0,0,0,0,0,0,8,3,0,1225
2004,12,29,0,0,57,139,3,3,4,6,0,3
2004,13,59,1,12,33,3,5,0,13,12,0,12
2004,14,23,0,4,20,0,0,1,7,4,1,7
2004,15,390,10,58,7,0,0,0,16,11,0,106
2004,16,340,4,0,1,0,1,0,5,5,0,457
2004,17,42,5,0,0,0,0,0,0,3,0,648
2005,12,70,0,0,20,7,6,0,17,0,0,13
2005,13,185,0,8,15,1,11,0,25,2,0,38
2005,14,44,0,3,2,1,0,0,24,1,1,88
2005,15,409,1,12,16,0,0,0,11,1,4,64
2005,16,140,1,3,0,0,0,0,2,0,0,55
2005,17,52,0,0,0,0,0,0,2,2,0,2471
2006,12,74,0,1,97,8,7,0,27,8,0,13
2006,13,156,0,15,122,0,4,0,74,7,2,206
2006,14,47,0,5,14,0,0,4,89,2,1,86
2006,15,1175,0,13,31,0,0,0,23,0,0,826
2006,16,284,0,7,0,0,0,0,2,0,0,179
2006,17,29,0,0,0,0,0,0,3,0,0,838
2007,12,67,0,4,1,83,6,0,22,1,0,3
2007,13,55,0,2,2,3,5,0,25,3,0,26
2007,14,24,0,8,1,1,0,1,20,3,0,16
2007,15,376,0,12,5,0,0,0,14,0,0,127
2007,16,12,0,0,0,0,0,0,0,0,0,55
2007,17,6,0,0,0,0,0,0,0,0,0,2938
2008,12,46,1,0,21,46,38,0,38,3,0,6
2008,13,76,0,1,46,35,47,0,32,0,1,13
2008,14,20,0,1,3,4,1,0,39,1,1,11
2008,15,23,0,20,17,1,2,0,30,0,1,68
2008,16,20,0,0,0,0,0,0,21,0,0,24
2008,17,5,0,0,0,0,0,0,3,3,0,320
2009,12,81,1,0,18,36,6,0,18,3,0,1
2009,13,142,0,11,16,33,0,0,15,3,1,1
2009,14,43,0,2,4,6,0,1,9,0,0,2
2009,15,114,0,6,10,0,0,0,17,0,1,26
2009,16,16,0,0,4,0,0,0,2,1,0,8
2009,17,15,0,0,0,0,0,0,0,0,0,2
2010,12,41,0,0,32,512,34,0,6,0,1,0
2010,13,107,0,12,18,73,41,0,8,2,0,13
2010,14,42,0,4,6,16,0,0,6,0,1,6
2010,15,110,0,13,1,0,0,0,4,0,0,26
2010,16,7,0,0,0,0,0,0,1,0,0,41
2010,17,0,0,0,0,0,0,0,5,2,0,11
2011,12,195,0,17,64,11,0,3,56,1,0,4
2011,13,159,1,103,158,1,1,1,61,2,0,43
2011,14,62,0,18,15,0,0,2,61,0,0,13
2011,15,136,0,187,58,0,0,0,28,0,0,38
2011,16,41,0,5,7,0,0,0,12,0,0,30
2011,17,20,0,0,0,0,0,0,0,2,0,65
2012,12,25,0,0,14,27,11,0,52,1,0,0
2012,13,83,6,15,7,14,4,0,24,0,2,1
2012,14,23,1,1,1,26,1,0,4,0,0,1
2012,15,128,6,26,7,0,0,1,10,1,2,16
2012,16,22,1,0,0,0,0,0,8,0,0,7
2012,17,3,0,0,0,0,0,0,0,0,2,8
2013,12,14,0,0,17,13,3,0,4,1,1,0
2013,13,88,1,8,24,30,1,0,21,3,0,16
2013,14,14,1,1,1,1,1,1,1,1,0,6
2013,15,77,0,8,17,0,0,0,22,1,2,88
2013,16,19,0,1,0,0,0,0,10,1,0,112
2013,17,12,0,0,0,0,0,0,0,0,0,3
2014,12,64,0,0,1,50,1,0,6,8,3,3
2014,13,28,1,1,3,19,1,0,3,2,0,10
2014,14,47,1,1,1,11,1,1,3,1,1,1
2014,15,71,64,7,2,0,0,0,31,6,2,179
2014,16,12,0,0,0,0,0,0,3,0,0,54
2014,17,12,2,0,0,0,0,0,6,2,5,26
2015,12,6,0,0,0,456,4,0,10,3,3,13
2015,13,13,0,0,1,139,0,0,11,0,0,32
2015,14,5,1,1,1,87,0,0,6,1,0,4
2015,15,23,0,6,0,0,0,0,8,2,2,641
2015,16,9,0,0,0,0,0,0,3,0,0,61
2015,17,0,0,0,0,0,0,0,2,0,0,28
2016,12,10,0,0,0,239,0,0,21,4,1,3
2016,13,75,1,0,2,79,0,0,29,1,2,39
2016,14,14,0,0,0,56,0,0,10,1,0,76
2016,15,132,1,8,0,7,0,0,13,0,0,240
2016,16,34,0,0,0,0,0,0,18,0,0,152
2016,17,2,0,0,0,0,0,0,2,0,0,5
2017,12,272,1,0,18,80,0,0,88,7,0,22
2017,13,1002,0,1,6,40,0,0,133,2,0,54
2017,14,218,0,0,11,9,0,1,80,1,1,49
2017,15,534,0,1,2,0,0,0,47,0,0,89
2017,16,177,0,0,5,0,0,0,23,0,0,47
2017,17,12,0,0,0,0,0,0,2,3,0,0
2018,12,102,0,0,8,335,0,0,10,7,1,7
2018,13,187,0,0,7,136,3,0,5,3,0,4
2018,14,31,0,0,2,29,0,0,2,1,1,4
2018,15,181,1,0,4,1,0,0,10,1,1,68
2018,16,103,0,0,0,2,0,0,2,0,0,49
2018,17,32,0,0,0,0,0,0,2,2,0,40
2019,12,259,0,0,3,134,6,0,52,1,0,1
2019,13,468,1,0,13,2,0,0,69,3,0,34
2019,14,157,0,0,1,0,0,0,37,1,0,19
2019,15,323,0,0,5,0,0,0,18,1,0,227
2019,16,154,0,0,1,0,0,0,10,0,0,16
2019,17,42,0,0,0,0,0,0,8,2,0,17
2020,12,132,0,0,6,55,1,0,1,4,6,7
2020,13,277,0,0,1,31,1,0,11,6,1,24
2020,14,98,0,0,0,26,0,0,6,6,1,11
2020,15,324,0,0,1,0,0,0,20,5,0,559
2020,16,35,0,0,0,0,0,0,1,0,0,27
2020,17,6,0,0,0,0,0,0,9,0,0,0
2021,12,28,0,0,7,623,1,0,0,3,0,0
2021,13,37,0,0,19,141,0,0,6,1,1,21
2021,14,11,0,0,9,39,0,0,4,4,0,3
2021,15,70,1,0,5,2,0,0,25,2,0,90
2021,16,51,0,0,1,0,0,0,19,0,0,106
2021,17,5,0,0,0,0,0,0,2,0,2,0
2022,12,83,0,0,28,196,0,0,11,4,1,0
2022,13,108,1,0,32,72,2,0,14,2,0,13
2022,14,30,0,0,10,90,0,0,5,0,0,6
2022,15,54,0,0,5,23,0,0,11,4,0,83
2022,16,23,0,0,2,5,0,0,2,1,0,118
2022,17,6,0,0,0,0,0,0,18,2,3,18
