organism_code,target_taxon_name,target_taxon_level,source,aphia_id,kingdom,phylum,class,order,family,genus,native
4350,Gnorimosphaeroma insulare,species,worms,260458,Animalia,Arthropoda,Malacostraca,Isopoda,Sphaeromatidae,Gnorimosphaeroma,1
4350,Gnorimosphaeroma insulare,species,worms,260458,Animalia,Arthropoda,Malacostraca,Isopoda,Sphaeromatidae,Gnorimosphaeroma,1
4370,Gnorimosphaeroma oregonense,species,worms,1264222,Animalia,Arthropoda,Malacostraca,Isopoda,Sphaeromatidae,Gnorimosphaeroma,1
4370,Gnorimosphaeroma oregonense,species,worms,1264222,Animalia,Arthropoda,Malacostraca,Isopoda,Sphaeromatidae,Gnorimosphaeroma,1
4370,Gnorimosphaeroma oregonense,species,worms,1264222,Animalia,Arthropoda,Malacostraca,Isopoda,Sphaeromatidae,Gnorimosphaeroma,1
4410,Uromunna sp. A,genus,worms,118375,Animalia,Arthropoda,Malacostraca,Isopoda,Munnidae,Uromunna,0
4410,Uromunna sp. A,genus,worms,118375,Animalia,Arthropoda,Malacostraca,Isopoda,Munnidae,Uromunna,0
4410,Uromunna sp. A,genus,worms,118375,Animalia,Arthropoda,Malacostraca,Isopoda,Munnidae,Uromunna,0
4510,Ampelisca abdita,species,worms,158020,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca,0
4510,Ampelisca abdita,species,worms,158020,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca,0
4510,Ampelisca abdita,species,worms,158020,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca,0
4550,Sinocorophium alienense,species,worms,431367,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Sinocorophium,0
4550,Sinocorophium alienense,species,worms,431367,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Sinocorophium,0
4550,Sinocorophium alienense,species,worms,431367,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Sinocorophium,0
4550,Sinocorophium alienense,species,worms,431367,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Sinocorophium,0
4550,Sinocorophium alienense,species,worms,431367,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Sinocorophium,0
4550,Sinocorophium alienense,species,worms,431367,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Sinocorophium,0
4550,Sinocorophium alienense,species,worms,431367,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Sinocorophium,0
4550,Sinocorophium alienense,species,worms,431367,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Sinocorophium,0
4550,Sinocorophium alienense,species,worms,431367,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Sinocorophium,0
4550,Sinocorophium alienense,species,worms,431367,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Sinocorophium,0
4610,Americorophium spinicorne,species,worms,431330,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Americorophium,1
4610,Americorophium spinicorne,species,worms,431330,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Americorophium,1
