Citation_title,Citation_complete
"Micrasema kluane, a probable stepping stone to the arctic (Trichoptera Brachycentridae).","Ross, H. H. and J. C. Morse (1973). ""Micrasema kluane, a probable stepping stone to the arctic (Trichoptera Brachycentridae)."" Entomological News 84: 291-293."
Microdistribution and feeding of the net-spinning caddisflies (Trichoptera) of a Canadian stream.,"Williams, N. E. and H. B. N. Hynes (1973). ""Microdistribution and feeding of the net-spinning caddisflies (Trichoptera) of a Canadian stream."" Oikos 24(1): 73-84."
Microdistribution of benthic invertebrates in a Rocky Mountain (U.S.A.) stream.,"Minshall, G. W., and J. N. Minshall. 1977. Microdistribution of benthic invertebrates in a Rocky Mountain (U.S.A.) stream. Hydrobiologia 55(3):231-249."
Microhabitat of Anthopotamus verticis (Ephemeroptera: Potamanthidae),"Bae, Y. J., and W. P. McCafferty. 1994. Microhabitat of Anthopotamus verticis (Ephemeroptera: Potamanthidae). Hydrobiologia 288:65-78."
Microhabitat selection and life cycle patterns of two Rhyacophila species,"Martin, I. D. 1985. Microhabitat selection and life cycle patterns of two Rhyacophila species (Trichoptera: Rhyacophilidae) in southern Ontario streams. Freshwater Biology 15:1-14."
Midsummer flight activity of caddisfly adults from a Northern California stream,"Resh, V. H., and K. L. Sorg. 1978. Midsummer flight activity of caddisfly adults from a Northern California stream. Environmental Entomology 7(3):396-398."
Morphology of the Eighth Abdominal Spiracles of Belostoma and Ranatra,"Parsons, M. C. 1973. Morphology of the Eighth Abdominal Spiracles of Belostoma and Ranatra (Aquatic Heteroptera: Belostomatidae, Nepidae). Journal of Natural History 7:255-265."
Mortality in reared hydopsychid pupae (Trichoptera: Hydropsychidae),"Rutherford, J. E. (1986). ""Mortality in reared hydopsychid pupae (Trichoptera: Hydropsychidae)."" Hydrobiologia 132: 97-111."
Movements of the gills of ephemerid nymhs in relation to the water currents produced by them,"Eastham, L. 1938. Movement of the gills of ephemerid nymhs in relation to the water currents produced by them. Journal of the Quekett Miscroscopial Club 1(2):1-5."
Mud cylinders of Tabanidae (Diptera) from Texas,"Drees, B. M. 1987. Mud cylinders of Tabanidae (Diptera) from Texas. Annals of the Entomological Society of America 80:51-54."
Nearctic caddis flies,Ross. 1938. Nearctic caddis flies. Illinois Natural History Survey Bulletin 21(4):106-108.
Nearctic Genera of Chloroperlinae (Plecoptera: Chloroperlidae),"Surdick, R. F. 1985. Nearctic Genera of Chloroperlinae (Plecoptera: Chloroperlidae). Illinois Biological Monographs 54:1-146."
Nearctic Oecetis scala group with the description of two new species from the interior highlands,"Moulton, S. R., II, and K. W. Stewart. 1993. Nearctic Oecetis scala group (Trichoptera: Leptoceridae) with the description of two new species from the interior highlands. Annals of the Entomological Society of America 86(3):221-227."
"Neochoroterpes, a new subgenus of Choroterpes Eaton from North America","Allen, R. K. 1974. Neochoroterpes, a new subgenus of Choroterpes Eaton from North America (Ephemeroptera: Leptophlebiidae). The Canadian Entomologist 106:161-168."
"Neocleon, a new mayfly genus","Traver, J. R. 1932. Neocleon, a new mayfly genus. Journal of the New York Entomogical Society 40:365-373."
Neoperla (Plecoptera: Perlidae) of the Southern Ozark and Ouachita Mountain region,"Ernst, M. R., B. C. Poulton, and K. W. Stewart. 1986. Neoperla (Plecoptera: Perlidae) of the Southern Ozark and Ouachita Mountain region, and two new species of Neoperla. Annals of the Entomological Society of America 79(4):645-661."
Neoperla clymene revisited: systematics of the Nearctic species complexes,"Stark, B. P. 1990. Neoperla clymene revisited: systematics of the Nearctic species complexes (Plecoptera: Perlidae). Pages 299-310 in I. C. Campbell, editor 5th International Ephemeroptera Conference and the 9th International Plecoptera Conference. Kluwer"
"Neoperla coosa (Plecoptera: Perlidae), a new stoneflies species from Alabama","Smith, A. D., and B. P. Stark. 1998. Neoperla coosa (Plecoptera: Perlidae), a new stoneflies species from Alabama. Entomological News 109(3):153-158."
"Neophylax kolodskii, a new species from the Great Smoky Mountains National Park, U.S.A.","Parker, C. R. 2000. Neophylax kolodskii (Trichoptera: Uenoidae), a new species from the Great Smoky Mountains National Park, U.S.A. Aquatic Insects 22(4):271-274."
New and interesting North American Trichoptera.,"Denning, D. G. 1968. New and interesting North American Trichoptera. Pan-Pacific Entomogist 44:17-26."
New and little known species of Caddis Flies.,"Denning, D. G. 1949. New and little known species of Caddis Flies. The American Midland Naturalist 42(1):112-122."
New and little known species of nearctic Trichoptera.,"Denning, D. G. 1948. New and little known species of nearctic Trichoptera. Psyche 55:16-27."
New and unusual Rhyacophila (Trichoptera: Rhyacophilidae),"Denning, D. G. 1975. New and unusual Rhyacophila (Trichoptera: Rhyacophilidae). The Canadian Entomologist 107:953-962."
New caddisflies (Trichoptera) from Alabama and Florida,"Harris, S. C. 1991. New caddisflies (Trichoptera) from Alabama and Florida. Bulletin of the Alabama Museum of Natural History 11:11-16."
New caddisflies (Trichoptera) from the Little River drainage in northeastern Alabama,"Frazer, K. S., and S. C. Harris. 1991. New caddisflies (Trichoptera) from the Little River drainage in northeastern Alabama. Bulletin of the Alabama Museum of Natural History 11:5-9."
New Caddisflies (Trichoptera) from the southeastern United States.,"Morse, J. C. 1971. New Caddisflies (Trichoptera) from the southeastern United States. Journal of the Georgia Entomological Society 6(2):77-84."
New California Plecoptera,"Hitchcock, S. 1958. New California Plecoptera. The Pan-Pacific Entomologist 34(2):77-80."
New Canadian Ephemeridae with notes,"McDunnough, J. 1923. New Canadian Ephemeridae with notes. The Canadian Entomologist (February):39-50."
"New Capnia from the Rocky Mountains (Plecoptera, Capniidae)","Nebeker, A. V., and A. R. Gaufin. 1967. New Capnia from the Rocky Mountains (Plecoptera, Capniidae). Transactions of the American Entomological Society 93:235-247."
New Capnias from Utah (Plecoptera),"Gaufin, A. R. 1962. New Capnias from Utah (Plecoptera). The Wasmann Journal of Biology 20(1):69-71."
New collection records of Ohio mayflies (Ephemeroptera).,"Hall, R. L. (1985). ""New collection records of Ohio mayflies (Ephemeroptera)."" Entomological News 96(4): 171-174."
New descriptions and distributional records for eastern North American caddisflies,"Ruiter, D. E. 2000. New descriptions and distributional records for eastern North American caddisflies (Trichoptera). Entomological News 111(3):227-232."
New distributional records of intermountain stoneflies (Plecoptera),"Logan, E. R., and S. D. Smith. 1966. New distributional records of intermountain stoneflies (Plecoptera)`. Biological Society of Nevada, Occasional Papers 9:1-3."
New field observations on burrowing in Ephemeropte,"Edmunds, G. F. and W. P. McCafferty. 1996.  New field observations on burrowing in Ephemeroptera from around the world. Entomological News 107(2): 68-76."
New genera and species of Perlidae,"Needham, J. G. 1905. New genera and species of Perlidae. Proceedings of the Biological Society of Washington 18:107-110."
New genera of mayflies from California.,"Day, W. C. 1955. New genera of mayflies from California. The Pan-Pacific Entomologist 31(3):121-137."
New genus of mayflies from eastern North America (Ephemeroptera: Ephemeridae),"McCafferty, W. P. 1971. New genus of mayflies from eastern North America (Ephemeroptera: Ephemeridae). Journal of the New York Entomological Society 79(1):45-51."
New Heptagenine mayflies,"Burks, B. D. 1946. New Heptagenine mayflies. Annals of the Entomological Society of America 39:607-615."
New Hydropsychidae (Trichoptera),"Denning, D. G. 1965. New Hydropsychidae (Trichoptera). Journal of the Kansas Entomological Society 38(1):75-84."
New Hydroptilidae (Trichoptera) from Alabama,"Harris, S. C. 1985. New Hydroptilidae (Trichoptera) from Alabama. Journal of the Kansas Entomological Society 58(2):248-253."
New Hydroptilidae (Trichoptera) from Alabama and South Carolina.,"Kelley, R. W., and S. C. Harris. 1983. New Hydroptilidae (Trichoptera) from Alabama and South Carolina. Entomological News 94(5):181-186."
New larval descriptions and comparisons of North American Choroterpes,"McCafferty, W. P. 1992. New larval descriptions and comparisons of North American Choroterpes (Ephemeroptera: Leptophlebiidae). The Great Lakes Entomologist 25(2):71-78."
New larval descriptions of 5 western Nearctic Isoperla,"Szczytko, S. W., and K. W. Stewart. 2002. New larval descriptions of 5 western Nearctic Isoperla: I. decolorata, I. denningi, I. rougensis, I. katmaiensis and I. baumanni and further descriptions of the male, female and ova of I. decolorata (Plecoptera: I"
New larval variants and distributional records for Plauditus cestus,"Lugo-Ortiz, C. R., and W. P. McCafferty. 1998. New larval variants and distributional records for Plauditus cestus (Ephemeroptera: Baetidae). The Great Lakes Entomologist 31(3-4):201-204."
New mayfly descriptions from Florida and a description of a new species,"Berner, L. 1953. New mayfly descriptions from Florida and a description of a new species. The Florida Entomologist 36(4):145-149."
New Megaleuctra from the eastern United States (Plecoptera:Leuctridae),"Baumann, R. W. 1973. New Megaleuctra from the eastern United States (Plecoptera:Leuctridae). Entomological News 84:247-250."
New member of the Chilean genus Nothotrichia from North America,"Harris, S. C., and B. J. Armitage. 1997. New member of the Chilean genus Nothotrichia from North America (Trichoptera: Hydroptilidae). Proceedings of the 8th International Symposium on Trichoptera 1997:123-128."
New microcaddisflies (Trichoptera: Hydroptilidae) from Alabama,"Harris, S. C. 1985. New microcaddisflies (Trichoptera: Hydroptilidae) from Alabama. Proceedings of the Entomological Society of Washington 87(3):606-621."
New micro-caddisflies from the southeastern United States,"Holzenthal, R. W., and R. W. Kelley. 1983. New micro-caddisflies from the southeastern United States (Trichoptera: Hydroptilidae). The Florida Entomologist 66(4):464-472."
New Nearctic Chloroperlidae (Plecoptera),"Kondratieff, B. C., and R. F. Kirchner. 1991. New Nearctic Chloroperlidae (Plecoptera). Journal of the New York Entomogical Society 99(2):199-203."
New Nearctic Choroperlidae (Plecoptera),"Surdick, R. F. 1981. New Nearctic Choroperlidae (Plecoptera). Great Basin Naturalist 41(3):349-359."
New nearctic Rhyacophilidae and Philopotamidae,"Ross, H. H. 1948. New nearctic Rhyacophilidae and Philopotamidae. Annals Entomological Society of America 41:17-26."
"New North American species in the genera Neothremma and Farula, with hypotheses on phylogeny","Wiggins, G. B., and R. W. Wisseman. 1992. New North American species in the genera Neothremma and Farula, with hypotheses on phylogeny and biogeography (Trichoptera: Uenoidae). The Canadian Entomologist 124:1063-1074."
New North American species of the genus Alloperla,"Frison, T. H. 1935. New North American species of the genus Alloperla. Transactions of the American Entomological Society 61:331-344."
New Paraleuctra from the Rocky Mountains (Plecoptera: Leuctridae),"Nebeker, A. V., and A. R. Gaufin. 1966. New Paraleuctra from the Rocky Mountains (Plecoptera: Leuctridae). Entomological News 77(9):255-259."
"New record and range extension for Rhyacophila wallowa from Rocky Mountain National Park, Colorado","Herrmann, S. J. 1990. New record and range extension for Rhyacophila wallowa (Trichoptera: Rhyacophilidae) from Rocky Mountain National Park, Colorado. Entomological News 101(3):141-142."
New records and descriptions of Plecoptera (Class Insecta),"Ricker, W. E. 1965. New records and descriptions of Plecoptera (Class Insecta). Journal of the Fisheries Research Board of Canada 22(2):475-501."
New records and descriptions of Plecoptera (Class Insecta).,"Ricker, W. E. 1965. New records and descriptions of Plecoptera (Class Insecta). Journal Fisheries Research Board of Canada 22(2):475-501."
New records of Allocapnia (Plecoptera: Capniidae) from Mississippi and Louisiana,"Alford, M. H. 1998. New records of Allocapnia (Plecoptera: Capniidae) from Mississippi and Louisiana, with accompanying scanning electron micrographs. Entomological News 109(3):183-188."
"New records of Ephemeroptera in Utah, with notes on biogeography","McCafferty, W. P., and J. F. MacDonald. 1994. New records of Ephemeroptera in Utah, with notes on biogeography. Entomological News 105(4):217-221."
New Records of Pennsylvania Caddis Flies (Trichoptera).,"Hyland, K. 1948. New Records of Pennsylvania Caddis Flies (Trichoptera). Entomological News:38-40."
New records of stoneflies (Plecoptera) from Kentucky,"Pond, G. J. 1999. New records of stoneflies (Plecoptera) from Kentucky. Entomological News 110(5):315-316."
New records of stoneflies (Plecoptera) from New Mexico,"Stark, B. P., T. A. Wolff, and A. R. Gaufin. 1975. New records of stoneflies (Plecoptera) from New Mexico. Great Basin Naturalist 35(1):97-99."
New records of stoneflies (Plecoptera) from Pennsylvania,"Earle, J. 1994. New records of stoneflies (Plecoptera) from Pennsylvania. Entomological News 105(2):80-84."
New records of stoneflies (Plecoptera) with an annotated checklist of the species for Pennsylvania,"Masteller, E. C. 1996. New records of stoneflies (Plecoptera) with an annotated checklist of the species for Pennsylvania. The Great Lakes Entomologist 29(3):107-119."
New records of western Trichoptera with notes on their biology,"Swegman, B. G., and L. C. Ferrington, Jr. 1980. New records of western Trichoptera with notes on their biology. Great Basin Naturalist 40(3):287-291."
New records of winter stoneflies (Plecoptera) from Southwestern New Mexico,"Jacobi, G. Z., and S. J. Cary. 1986. New records of winter stoneflies (Plecoptera) from Southwestern New Mexico, with notes of habitat preferences and zoogeographical origins. The Southwestern Naturalist 31(4):503-510."
"New records, zoogeographic notes, and revised checklist of stoneflies (Plecoptera) from Maryland","Grubbs, S. A. 1997. New records, zoogeographic notes, and revised checklist of stoneflies (Plecoptera) from Maryland. Transactions of the American Entomological Society 123(1 + 2):71-84."
New Rhyacophilidae records with some water quality data.,"Roback, S. S. 1975. New Rhyacophilidae records with some water quality data. Proceedings of the Academy of Natural Sciences of Philadelphia 127(5):45-50."
New Rhyacophilids and Limnephilids (Trichoptera: Rhyacophilidae and Limnephilidae).,"Denning, D. G. (1965). ""New Rhyacophilids and Limnephilids (Trichoptera: Rhyacophilidae and Limnephilidae)."" The Canadian Entomologist 97: 690-700."
New Southeastern Trichoptera.,"Etnier, D. A., and J. D. Way. 1973. New Southeastern Trichoptera. Journal of the Kansas Entomological Society 46(3):422-430."
New Species and descriptions of stoneflies (Plecoptera) from Oklahoma,"Stark, B. P., and K. W. Stewart. 1973. New Species and descriptions of stoneflies (Plecoptera) from Oklahoma. Entomological News 84:192-197."
New species and notes of western Trichoptera.,"Denning, D. G. 1968. New species and notes of western Trichoptera. Journal of the Kansas Entomological Society 41(1):63-69."
New species and previously undescribed larvae of North American Ephemeroptera,"Provonsha, A. V., and W. P. McCafferty. 1982. New species and previously undescribed larvae of North American Ephemeroptera. Journal of the Kansas Entomological Society 55(1):23-33."
New Species and Previously Undescribed Niaids of some Minnesota Mayflies(Ephemeroptera).,"Daggy, R. H. 1945. New Species and Previously Undescribed Niaids of some Minnesota Mayflies(Ephemeroptera). Minnesota, St. Paul."
New species and records of Ephemerella (Ephemerella) in Western North America,"Allen, R. K. 1968. New species and records of Ephemerella (Ephemerella) in Western North America (Ephemeroptera: Ephemerellidae). Journal of the Kansas Entomological Society 41(4):557-567."
New species of caddisflies (Trichoptera) from Alabama,"Harris, S. C. 1986. New species of caddisflies (Trichoptera) from Alabama. Proceedings of the Entomological Society of Washington 88(1):30-41."
New species of Cheumatopsyche from the southeastern United States,"Ross, H. H., J. C. Morse, and A. E. Gordon. 1971. New species of Cheumatopsyche from the southeastern United States (Hydropsychidae, Trichoptera). Proceedings of the Biological Society of Washington 84(37):301-306."
New species of Ephemerella from Illinois (Ephemeroptera),"Burks, B. D. 1947. New species of Ephemerella from Illinois (Ephemeroptera). The Canadian Entomologist 79:232-236."
New species of Hydroptilidae (Trichoptera) from Alabama,"Harris, S. C., and R. W. Kelley. 1984. New species of Hydroptilidae (Trichoptera) from Alabama. Proceedings of the Entomological Society of Washington 86(3):572-577."
New species of Lepidostoma,"Denning, D. G. 1954. New species of Lepidostoma (Trichoptera: Lepidostomatidae). The Pan-Pacific Entomologist 30(3):187-194."
New species of microcaddisflies from the eastern United States,"Harris, S. C., and J. L. Sykora. 1996. New species of microcaddisflies from the eastern United States (Insecta: Trichoptera: Hydroptilidae). Annals of Carnegie Museum 65(1):17-25."
New species of nearctic caddis flies.,"Denning, D. G. 1949. New species of nearctic caddis flies. Brooklyn Entomological Society 34:37-48."
New species of Nearctic Neoperla (Plecoptera: Perlidae),"Stark, B. P., and D. L. Lentz. 1988. New species of Nearctic Neoperla (Plecoptera: Perlidae). Annals of the Entomological Society of America 81(3):371-376."
"New species of Nearctic Neoperla (Plecoptera: Perlidae), with notes on the genus","Stark, B. P., and R. W. Baumann. 1978. New species of Nearctic Neoperla (Plecoptera: Perlidae), with notes on the genus. Great Basin Naturalist 38(1):97-114."
"New species of Nearctic Rhyacophila (Trichoptera, Rhycophilidae).","Ross, H. H. (1950). ""New species of Nearctic Rhyacophila (Trichoptera, Rhycophilidae)."" Journal of the Washington Academy of Sciences 40(8): 260-265."
New species of Nemoura from Western North America,"Baumann, R. W., and A. R. Gaufin. 1971. New species of Nemoura from Western North America. The Pan-Pacific Entomologist 47(4):270-278."
"New species of Neotrichia from Texas and Panama, with a preliminary review of the N. canixa Group","Harris, S. C., and S. G. Tiemann. 1993. New species of Neotrichia from Texas and Panama, with a preliminary review of the N. canixa Group (Trichoptera: Hydroptilidae). Proceedings of the Entomological Society of Washington 95(2):286-292."
New species of New World Leptohyphinae (Ephemeroptera: Tricorythidae),"Allen, R. K. 1967. New species of New World Leptohyphinae (Ephemeroptera: Tricorythidae). The Canadian Entomologist 99:350-375."
New species of North American Ephemeroptera,"McDunnough, J. 1931. New species of North American Ephemeroptera. The Canadian Entomologist 63(April):82-93."
New species of North American Plecoptera,"Claassen, P. W. 1923. New species of North American Plecoptera. The Canadian Entomologist --:257-263."
New species of North American Plecoptera. Canadian Entomologist 55:257-292.,"Claassen, P. W. 1923. New species of North American Plecoptera. Canadian Entomologist 55:257-292."
New species of Ochrotrichia (Ochrotrichia) from the southwestern United States and northern Mexico,"Harris, S. C., and S. R. Moulton, II. 1993. New species of Ochrotrichia (Ochrotrichia) from the southwestern United States and northern Mexico (Trichoptera: Hydroptilidae). Journal of the New York Entomological Society 101(4):542-549."
New species of Oxyethira (Trichoptera: Hydroptilidae) from the southeastern United States,"Kelley, R. W. 1981. New species of Oxyethira (Trichoptera: Hydroptilidae) from the southeastern United States. Journal of the Georgia Entomological Society 16(3):368-375."
New species of Rhyacophila from Virginia,"Sykora, J. L., and D. J. McCabe. 1996. New species of Rhyacophila from Virginia (Insecta: Trichoptera: Rhyacophilidae). Annals of Carnegie Museum 65(1):13-16."
New species of stoneflies (Plecoptera).,"Claassen, P. W. 1937. New species of stoneflies (Plecoptera). Journal of the Kansas Entomological Society 10(2):42-51."
New species of Taeniopteryx (Plecoptera: Taeniopterygidae) from South Carolina,"Kondratieff, B. C., and R. F. Kirchner. 1984. New species of Taeniopteryx (Plecoptera: Taeniopterygidae) from South Carolina. Annals of the Entomological Society of America 77(6):733-736."
New species of the caddisfly genus Polycentropus from eastern North America,"Ross, H. H., and T. Yamamoto. 1965. New species of the caddisfly genus Polycentropus from eastern North America (Trichoptera, Psychomyiidae). Proceedings of the Biological Society of Washington 78:241-246."
New species of Trichoptera from Canada and Northern United States.,"Ross, H. H. 1941. New species of Trichoptera from Canada and Northern United States. The Canadian Entomologist 73(1):15-19."
New species of Trichoptera from the Appalachian region,"Ross, H. H. 1939. New species of Trichoptera from the Appalachian region. Proceedings of the Entomological Society of Washington 41(3):69-72."
New species of Trichoptera from the United States.,"Denning, D. G. 1947. New species of Trichoptera from the United States. Entomological News 58(10):249-257."
New Species of Trichoptera.,"Denning, D. G. 1973. New Species of Trichoptera. The Pan-Pacific Entomologist 49(2):132-143."
New species of Utah mayflies. I. Oligoneuriidae,"Edmunds, G. F., Jr. 1951. New species of Utah mayflies. I. Oligoneuriidae. Proceedings of the Entomological Society of Washington 53(6):327-331."
"New species of Utah mayflies. II. Baetidae, Centroptilum","Edmunds, G. F., Jr. 1954. New species of Utah mayflies. II. Baetidae, Centroptilum. Proceedings of the Biological Society of Washington 56(1):1-4."
"New species of winter stoneflies of the genus Allocapnia (Plecoptera, Capniidae)","Ross, H. H. 1964. New species of winter stoneflies of the genus Allocapnia (Plecoptera, Capniidae). Entomological News 75(7):169-177."
"New species of winter stoneflies, genus Allocapnia (Plecoptera, Capniidae)","Ross, H. H., and W. E. Ricker. 1964. New species of winter stoneflies, genus Allocapnia (Plecoptera, Capniidae). Transactions of the Illinois State Academy of Science 57(2):88-93."
"New species, redescriptions, and cladistics of the genus Pseudocentroptiloides","Waltz, R. D., and W. P. McCafferty. 1989. New species, redescriptions, and cladistics of the genus Pseudocentroptiloides (Ephemeroptera: Baetidae). Journal of the New York Entomological Society 97(2):151-158."
"New species, subspecies, and stage descriptions of Texas Baetidae","McCafferty, W. P., and A. V. Provonsha. 1993. New species, subspecies, and stage descriptions of Texas Baetidae (Ephemeroptera). Proceedings of the Entomological Society of Washington 95(1):59-69."
New spiny crawlers from the headwaters of the Savannah River,"McCafferty, W. P. 1985. New spiny crawlers from the headwaters of the Savannah River (Ephemeroptera: Ephemerellidae). Proceedings of the Entomological Society of Washington 87(2):421-425."
New State and distributional records for Kansas Plecoptera,"Huggins, D. G. 1981. New State and distributional records for Kansas Plecoptera. Technical Publications of the State Biological Survey of Kansas 10:65-70."
New state and provincial records for North American small minnow mayflies (Ephemeroptera: Baetidae),"McCafferty, W. P., M. D. Meyer, J. M. Webb, and L. M. Jacobus. draft. New state and provincial records for North American small minnow mayflies (Ephemeroptera: Baetidae)."
New state record of the Alderfly Sialis concava Banks,"Tarter, D. C., W. D. Watkins, M. L. Little, and L. A. D. 1976. New state record of the Alderfly Sialis concava Banks from the Cranberry Glades in West Virginia (Megaloptera: Sialidae). Entomological News 88(3-4):104."
New state records of hydroptilidae from the interior highlands of northwestern Arkansas,"Frazer, K. S., H. W. Robison, and S. C. Harris. 1991. New state records of hydroptilidae (Trichoptera) from the interior highlands of northwestern Arkansas. Journal of the Kansas Entomological Society 64(4):445-447."
New stoneflies and records from the Pacific Coast of the United States,"Jewett, S. G. 1962. New stoneflies and records from the Pacific Coast of the United States. The Pan-Pacific Entomologist 38(1):15-20."
New stoneflies from California and Oregon,"Jewett, S. G. 1954. New stoneflies from California and Oregon. The Pan-Pacific Entomologist 30(3):167-180."
New stoneflies from Idaho (Plecoptera),"Nebeker, A. V., and A. R. Gaufin. 1966. New stoneflies from Idaho (Plecoptera). Entomological News 77(2):36-43."
New synonyms for three North American Ephemeroptera species,"Jacobus, L. M., and W. P. McCafferty. 2002. New synonyms for three North American Ephemeroptera species. Journal of the Kansas Entomological Society 75(1):59-60."
New trichoptera,"Denning, D. G. 1962. New trichoptera. Pan-Pacific Entomogist 38(1):33-39."
New Trichoptera from Alabama,"Harris, S. C. 1989. New Trichoptera from Alabama. Journal of the New York Entomological Society 97(3):309-316."
New Trichoptera from the United States and Mexico,"Denning, D. G. 1965. New Trichoptera from the United States and Mexico. The Pan-Pacific Entomologist 41(4):262-272."
New western Ephemeroptera,"Mayo, V. K. 1939. New western Ephemeroptera. The Pan-Pacific Entomologist 15(4):145-154."
New western trichoptera,"Denning, D. G. 1958. New western trichoptera. Pan-Pacific Entomogist 34(2):93-98."
New winter stoneflies (Plecoptera: Capniidae) from the Coast Range of California,"Nelson, C. R., and R. W. Baumann. 1990. New winter stoneflies (Plecoptera: Capniidae) from the Coast Range of California. Pan-Pacific Entomogist 66(4):301-306."
New winter stoneflies of the genus Capnia with notes and an annotated checklist,"Nelson, C. R., and R. W. Baumann. 1987. New winter stoneflies of the genus Capnia with notes and an annotated checklist of the Capniidae of California (Plecoptera: Capniidae). Entomography 5:485-521."
North American mayflies of the family Oligoneuriidae,"Edmunds, G. F. Jr., L. Berner, and J. R. Traver. 1958. North American mayflies of the family Oligoneuriidae. Annals Entomological Society of America 51:375-382."
"North American species of Taeniopteryx (Plecoptera, Insecta).","Ricker, W. E. and H. H. Ross (1968). ""North American species of Taeniopteryx (Plecoptera, Insecta)."" Journal of Fisheries Research Board of Canada 25(7): 1423-1439."
North American Species of Taeniopteryx (Plecoptera: Insecta).,"Ricker, W. E., and H. H. Ross. 1968. North American Species of Taeniopteryx (Plecoptera: Insecta). Journal Fisheries Research Board of Canada 25(7):1423-1439."
Notes and descriptions concerning Western North American stoneflies (Plecoptera),"Jewett, S. G. 1955. Notes and descriptions concerning Western North American stoneflies (Plecoptera). The Wasmann Journal of Biology 13(1):145-155."
Notes and descriptions of naiads belonging to the dragonfly genus Helocordulia,"Kennedy, C. H. 1924. Notes and descriptions of naiads belonging to the dragonfly genus Helocordulia. Proceedings of the United States National Museum 64:1-4."
Notes and descriptions of nearctic Trichoptera.,"Banks, N. (1943). ""Notes and descriptions of nearctic Trichoptera."" Bulletin: Museum of Comparative Zoology, Harvard University 92: 341-369."
Notes on Arcynopteryx (Oroperla) barbara (Needham),"Jewett, S. G. 1966. Notes on Arcynopteryx (Oroperla) barbara (Needham). The Pan-Pacific Entomologist 42:175-177."
Notes on Dubiraphia (Coleoptera: Elmidae) with descriptions of five new species,"Hilsenhoff, W. L. 1973. Notes on Dubiraphia (Coleoptera: Elmidae) with descriptions of five new species. Annals of the Entomological Society of America 66(1):55-61."
"Notes on North American Ephemeroptera with descriptions of new species, II.","McDunnough, J. 1929. Notes on North American Ephemeroptera with descriptions of new species, II. The Canadian Entomologist 61(8):169-180."
Notes on Perlesta (Plecoptera: Perlidae) from Eastern North America,"Grubbs, S. A., and B. P. Stark. 2001. Notes on Perlesta (Plecoptera: Perlidae) from Eastern North America. Aquatic Insects 23(2):119-122."
Notes on Perlidae,"Banks, N. 1948. Notes on Perlidae. Psyche 55(3):113-130."
Notes on Perlinodes aurea (Plecoptera: Perlodidae),"Stark, B. P., and K. W. Stewart. 1982. Notes on Perlinodes aurea (Plecoptera: Perlodidae). Annals of Entomology 75(1):84-88."
Notes on separation and identification of North American riffle beetles,"Brown, H. P., and D. S. White. 1978. Notes on separation and identification of North American riffle beetles (Coleoptera: Dryopoidea: Elmidae). Entomological News 89(1):1-13."
Notes on some nearctic Psychomyiidae with special reference to their larvae (Trichoptera).,"Flint, O. S. 1964. Notes on some nearctic Psychomyiidae with special reference to their larvae (Trichoptera). Pages 467-481 in Proceedings of the United Staes National Museum, Smithsonian Institution, Washington D.C."
Notes on some New England Phryganeidae (Trichoptera).,"Banks, N. (1951). ""Notes on some New England Phryganeidae (Trichoptera)."" Psyche 58: 20-23."
Notes on the behavior of Ametropus ammophilus in Oregon,"Hafele, R. E., and D. Hughes. 1978. Notes on the behavior of Ametropus ammophilus in Oregon (Ephemeroptera: Ametropodidae). The Pan-Pacific Entomologist 54:260."
Notes on the genus Perlinella and a generic synonomy in North America Perlidae (Plecoptera),"Zwick, P. 1971. Notes on the genus Perlinella and a generic synonomy in North America Perlidae (Plecoptera) 54(4):315-320."
Notes on the life histories of Strophopteryx limata and Oemopteryx contorta in Tennessee,"Nelson, C. H. 1982. Notes on the life histories of Strophopteryx limata (Frison) and Oemopteryx contorta (Needham and Claasen) (Plecoptera: Taeniopterigidae) in Tennessee. Journal of the Tennessee Academy of Science 57(1):9-15."
Notes on the mayflies of Eastern Tennessee,"Wright, M., and L. Berner. 1949. Notes on the mayflies of Eastern Tennessee. Journal of the Tennessee Academy of Science 24(4):287-298."
Notes on the occurence and distribution of Pteronarcys californica,"Elder, J. A., and A. R. Gaufin. 1973. Notes on the occurence and distribution of Pteronarcys californica Newport (Plecoptera) within streams. Great Basin Naturalist 33(4):218-220."
Notes on the seasonal distribution and taxonomy of Pycnopsyche adults (Trichoptera: Limnephilidae).,"Sykora, J., W. Walker, D. Vest, and J. S. Weaver. 1976. Notes on the seasonal distribution and taxonomy of Pycnopsyche adults (Trichoptera: Limnephilidae). Proceedings of the Pennsylvania Academy of Science 50:133-135."
Notes on the winter stonefly genus Allocapnia (Plecoptera: Capniidae),"Kondratieff, B. C., and R. F. Kirchner. 1982. Notes on the winter stonefly genus Allocapnia (Plecoptera: Capniidae). Proceedings of the Entomological Society of Washington 84(2):240-244."
"Noteworthy records of caddis flies from Michigan, with descriptions of new species","Leonard, J. W., and F. A. Leonard. 1949. Noteworthy records of caddis flies from Michigan, with descriptions of new species. Occasional Papers of the Museum of Zoology (520):1-17."
"Nyctiophylax barrorum (Trichoptera: Polycentropodidae), a new species from Alabama","Morse, J. C. 1990. Nyctiophylax barrorum (Trichoptera: Polycentropodidae), a new species from Alabama. Journal of the Kansas Entomological Society 63(1):133-137."
