Citation_title,Citation_complete
A new species of Farrodes (Ephemeroptera: Leptophlebiidae: Atalophlebiinae) from Southern Texas,"Davis, J. R. 1987. A new species of Farrodes (Ephemeroptera: Leptophlebiidae: Atalophlebiinae) from Southern Texas. Proceedings of the Entomological Society of Washington 89(3):407-416."
A new species of Heterelmis from Texas,"Bosse, L. S., D. W. Tuff, and H. P. Brown. 1988. A new species of Heterelmis from Texas (Coleoptera: Elmidae). The Southwestern Naturalist 33(2):199-203."
"A new species of Hydropsyche from Alabama, with additional state records for the Curvipalpia","Lago, P. K., and S. C. Harris. 1991. A new species of Hydropsyche (Trichoptera: Hydropsychidae) from Alabama, with additional state records for the Curvipalpia. Bulletin of the Alabama Museum of Natural History 11:1-3."
A new species of Hydropsyche from Tennessee (Hydropsychidae: Trichoptera).,"Schuster, G. and A. Talak (1977). ""A new species of Hydropsyche from Tennessee (Hydropsychidae: Trichoptera)."" Journal of the Kansas Entomological Society 50(4): 515-518."
A new species of Hydropsyche from the Harpeth River in middle Tennessee (Trichoptera:,"Schuster, G. A. and D. A. Etnier (1978). ""A new species of Hydropsyche from the Harpeth River in middle Tennessee (Trichoptera: Hydropsychidae)."" Journal of the Kansas Entomological Society 51(2): 218-221."
A new species of Hydroptila (Trichoptera: Hydroptilidae) from North Carolina,"Huryn, A. D. 1985. A new species of Hydroptila (Trichoptera: Hydroptilidae) from North Carolina. Proceedings of the Entomological Society of Washington 87(2):444-447."
A new species of Lachlania from New Mexico with notes on the genus,"Koss, R. W., and G. F. Edmunds, Jr. 1970. A new species of Lachlania from New Mexico with notes on the genus. Proceedings of the Entomological Society of Washington 72(1):55-65."
"A new species of Lepidostoma from Arkansas, U.S.A.","Bowles, D. E., M. L. Mathis, and J. S. Weaver, III. 1994. A new species of Lepidostoma (Trichoptera: Lepidostomatidae) from Arkansas, U.S.A. Aquatic Insects 16(4):249-252."
A new species of mayfly from Tennessee. Entomological News,"Berner, L. 1948. A new species of mayfly from Tennessee. Entomological News:117-120."
A new species of nearctic Perlesta (Plecoptera: Perlidae) from Virginia,"Kondratieff, B. C., and R. F. Kirchner. 1997. A new species of nearctic Perlesta (Plecoptera: Perlidae) from Virginia. Proceedings of the Entomological Society of Washington 99(2):290-293."
A new species of Neoperla (Insecta: Plecoptera: Perlidae) from Mississippi,"Stark, B. P. 1995. A new species of Neoperla (Insecta: Plecoptera: Perlidae) from Mississippi. Proceedings of the Biological Society of Washington 108(1):45-49."
A new species of Neotrichia from Colorado with additions and corrections,"Ruiter, D. E. 1990. A new species of Neotrichia (Trichoptera: Hydroptilidae) from Colorado with additions and corrections to the disribution and records of Colorado Trichoptera. Entomological News 101(2):88-92."
A new species of Nixe from Indiana (Ephemeroptera: Heptageniidae),"McCafferty, W. P. 1982. A new species of Nixe from Indiana (Ephemeroptera: Heptageniidae). The Great Lakes Entomologist 15(4):227-229."
A new species of Nyctiophylax from Alabama and Mississippi,"Lago, P. K., and S. C. Harris. 1985. A new species of Nyctiophylax (Trichoptera: Polycentropodidae) from Alabama and Mississippi. Entomological News 96(1):16-18."
"A new species of Ophiogomphus from eastern North America, with a key","Carle, F. L. 1981. A new species of Ophiogomphus from eastern North America, with a key to the regional species (Anisoptera: Gomphidae). Odonatologica 10(4):271-278."
A new species of Paraleptophlebia from the southeast (Ephemeroptera: Leptophlebiidae),"Berner, L. 1955. A new species of Paraleptophlebia from the southeast (Ephemeroptera: Leptophlebiidae). Proceedings of the Entomological Society of Washington 57(5):245-247."
A new species of Peltoperla form Eastern North America (Plecoptera: Peltoperlidae),"Stark, B. P., and B. C. Kondratieff. 1987. A new species of Peltoperla form Eastern North America (Plecoptera: Peltoperlidae). Proceedings of the Entomological Society of Washington 89(1):141-146."
A new species of Polycentropus (Trichoptera: Polycentropodidae) from Arkansas,"Bowles, D. E., M. L. Mathis, and S. W. Hamilton. 1993. A new species of Polycentropus (Trichoptera: Polycentropodidae) from Arkansas. Entomological News 104(1):31-34."
A new species of Pseudocentroptiloides with revisions to other Baetid spp from TX,"Wiersema, N. A., and W. P. McCafferty. 1998. A new species of Pseudocentroptiloides (Ephemeroptera: Baetidae), with revisions to other previously unnamed Baetid species from Texas. Entomological News 109(2):110-116."
A new species of Pseudocloeon from Idaho.,"Jensen, S. L. 1969. A new species of Pseudocloeon from Idaho. The Pan-Pacific Entomologist 45:14-15."
A new species of Psilotreta from North Carolina (Trichoptera: Odontoceridae).,"Wallace, J. B. (1970). ""A new specis of Psilotreta from North Carolina (Trichoptera: Odontoceridae)."" Entomological News 81: 243-245."
A new species of Psychoglypha ROSS from western Canada,"Nimmo, A. P. 1965. A new species of Psychoglypha ROSS from western Canada, with notes on several other species of Limnephilidae (Trichoptera). Canadian Journal of Zoology 43:781-787."
A new species of Rhyacophila pictet from Great Smoky Mountains National Park,"Etnier, D. A., C. R. Parker, and I. C. Stocks. 2004. A new species of Rhyacophila pictet (Trichoptera: Rhyacophilidae) from Great Smoky Mountains National Park, with illustrations of females of R. appalachia Morse and Ross and R. mycta Ross. Proceedings o"
"A new species of Rhyacophila, described from metamorphotypes (Rhyacophilidae: Trichoptera).","Milne, M. J., and L. J. Milne. 1940. A new species of Rhyacophila, described from metamorphotypes (Rhyacophilidae: Trichoptera). Bulletin of the Brooklyn Entomogical Society 35(5):153-156."
A new species of Stenelmis (Coleoptera: Elmidae) found west of the Mississippi,"Schmude, K. L., and H. P. Brown. 1991. A new species of Stenelmis (Coleoptera: Elmidae) found west of the Mississippi River. Proceedings of the Entomological Society of Washington 93(1):51-61."
A new species of Stenonema (Ephemeroptera: Heptageniidae) from eastern North America,"Carle, L. F., and P. A. Lewis. 1978. A new species of Stenonema (Ephemeroptera: Heptageniidae) from Eastern North America. Annals of the Entomological Society of America 71(3):285-288."
A new species of Stenonema (Ephemeroptera: Heptageniidae) from North Carolina,"McCafferty, W. P. 1990. A new species of Stenonema (Ephemeroptera: Heptageniidae) from North Carolina. Proceedings of the Entomological Society of Washington 92(4):760-764."
A new species of Sweltza (Plecoptera: Chloroperlidae) from Eastern North America,"Kondratieff, B. C., and R. F. Kirchner. 1998. A new species of Sweltza (Plecoptera: Chloroperlidae) from Eastern North America. Entomological News 109(4):293-295."
A new species of Sweltza from West Virginia,"Kirchner, R. F., and B. C. Kondratieff. 1988. A new species of Sweltza from West Virginia (Plecoptera: Chloroperlidae). Entomological News 99(5):233-236."
A new species of Taenioperyx from Texas (Plecoptera: Taeniopterygidae),"Stewart, K. W., and S. W. Szczytko. 1974. A new species of Taenioperyx from Texas (Plecoptera: Taeniopterygidae). Journal of the Kansas Entomological Society 47(4):451-458."
A new species of the genus Polycentropus from Tennessee.,"Yamamoto, T. (1966). ""A new species of the genus Polycentropus from Tennessee."" Journal of Kansas Entomological Society 39(4): 687-689."
A new species of the Rhyacophila brunnea Group,"Smith, S. D., and J. S. Weaver, III. 1984. A new species of the Rhyacophila brunnea Group (Trichoptera: Rhyacophilidae). Entomological News 95(2):37-39."
A new species of the small minnow mayfly genus Plauditus from South Carolina,"McCafferty, W. P., and R. D. Waltz. 1998. A new species of the small minnow mayfly genus Plauditus (Ephemeroptera: Baetidae) from South Carolina. Entomological News 109(5):354-356."
